A1;Procedurell abstraktion;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#1
A2;Objektorienterad abstraktion;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#2
A3;Informationsgömning;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#3
A8;Gränssnitt;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#8
B4;Arv och subtypspolymorfism;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#4
B5;Liskov's Substitution Principle;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#5
B6;Genomskärande åtaganden och arv;GRADE_5;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#6
C7;Planering och uppföljning;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#7
D9;Dokumentation;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#9
E10;Implementera genericitet genom void-pekare;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#10
E11;Parametrisk polymorfism och typsäkerhet;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#11
E12;Designa med parametrisk polymorfism;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#12
F13;Iteration vs. rekursion;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#13
F14;Svansrekursion;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#14
G15;Aliasering;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#15
G16;Namn-baserad inkapsling;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#16
G17;Nästlade och inre klasser;GRADE_5;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#17
H18;Jämförelsemetoden equals();GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#18
H19;Skillnaden mellan identitet och ekvivalens;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#19
H20;Värdeöverföring;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#20
H21;Abstrakta klasser, metoder och interface;GRADE_5;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#21
I23;Undantagshantering;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#23
I24;Olika metoder för felhantering;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#24
I25;Egendefinierade undantag;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#25
J26;Allokering på stacken vs. på heapen;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#26
J27;Manuell minneshantering;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#27
J28;Manuell vs. automatisk minneshantering;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#28
J29;Jämför två metoder för automatisk skräpsamling;GRADE_5;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#29
K30;Gränssnitt mellan moduler;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#30
K31;Coupling & cohesion;GRADE_4;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#31
K32;Separation of concerns;GRADE_5;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#32
M36;C:s array-notation och pekararitmetik;GRADE_3;ACHIEVEMENT;http://wrigstad.com/ioopm/achievements.html#36
